Timestamp,كانت تواجهك الحيرة بخصوص مجال الذكاء الاصطناعي قبل حضورك لاسبوع الذكاء الاصطناعي في مبادرة مجال؟,ساعدتك مبادرة مجال على تحديد ما إذا كان مجال الذكاء الاصطناعي يناسبك أم لا,هل اتخذت قرارًا بخصوص مجال الذكاء الاصطناعي؟,تقييمك لمبادرة مجال في مجال الذكاء الاصطناعي,نقدك واقتراحاتك لمبادرة مجال في مجال الذكاء الاصطناعي
8/7/2025 16:39:27,4,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,ممتازة عشرة على عشرة,لا شى
8/7/2025 16:40:54,3,4,لا، ليس بعد,ممتازة وسعدتني كثيراً لتعرف على ai,-
8/7/2025 16:48:34,4,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,أفضل ما يميز المبادره هو قدرتها على تبسيط مفاهيم الذكاء الاصطناعي المعقدة وتقديمها بطريقة سلسة وواضحة للجميع.,.
8/7/2025 16:51:04,2,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,واحد من افضل المبادرات اذا ماكان افضلهم، شكرا من قلب لمن ساهم بهذي المبادرة، تسلسل الافكار، المواضيع، طريقة الطرح كلها ممتازة، اختيار طاقم التدريب كان موفق جدا، تجربة جميلة جدا,مافيه اي اقتراحات غير الاستمرار على نفس هذا المستوى الجميل 
8/7/2025 16:55:29,5,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,شكرا لكم ويعطيكم الف عافيه، دخلت ما كنت كثير حابه المجال بس مجبوره اخذ نظره عشان مشروع تخرجي و طلعت حابه المجال و ابي اكمل فيه وهذا بفضل الله ثم انتو، كنتو خير معلمين و مرشدين و مساعدين و صرتو مصدر فخر ان هذا كله بصنع سعوديين و سعوديات، أشكركم و فخوره فيكم، غرست فيني شعور جميل و معلومات قيمه ارجع أشكركم كثير كثير.,كان كل شي كامل جميل لا حاجه النقد وإنما نتمنى استمراركم
8/7/2025 16:57:03,3,5,لا، ليس بعد,شكراً من القلب للمبادرة الرائعة اللي ساعدتني أفهم نفسي و اقتنعت اكثر بأن AI المجال المناسب لي.بصراحة استفدت مرة و أشوف أنها مبادرة ناجحة كل التوفيق لكم💗💗,الجزء النظري (اليوم الأول والثاني) كان طويل جدًا مقارنة بالوقت خاصة للمبتدئين الا ما عندهم خلفية مسبقة اقترح تبسيط الشرح، المعادلات والخوارزميات يمكن تحسينها بتوضيح الرابط بينها وبين التطبيقات الواقعية
8/7/2025 17:35:22,3,3,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,10/10,"الصراحة كل شيء جميل وما قصرتوا الله يعطيكم العافية مرره استفدنا جدًا 
وفاضل والوليد جهدكم ما نعرف كيف نشكره الله يجزاكم الجنه ما قصرتوا"
8/7/2025 18:18:31,1,2,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,"10/10 
حبيت كيف كانت المعرفه والتعلم والمتعه موجوده بنفس الوقت وتنفع تكون حتى مو بس للناس اللي تبحث عن مجالها ممكن تكون بوابه اننا نتعرف على مواضيع بعيده عن تخصصنا ونوسع معرفتنا وادراكنا بباقي المواضيع",.
8/7/2025 18:25:15,3,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,المدربين كانو قمة في الاخلاق والاسلوب وعندهم طوله بال وخلقو وسط مُريح كفايه اني اسأل اسأليه جدًا بدائيه وهالشيء يقول الكثير عنهم، طريقتهم بتوصيل المعلومة بشكل بسيط! دخلت الدورة وانا معتقده ان الذكاء الاصطناعي صعب جدًا! لكن طلعت منها الان وانا فاهمه وعارفه وماخذه نظره كبيره عليه ومطبقه برضو وعندي خلفيه عنه جدًا دقيقه. الصراحه التقييم فوق التقييم ١٠/١٠ الله يعطيهم العافية ماقصرو معانا ,.
8/7/2025 19:18:41,5,5,نعم، قررت أن مجال الذكاء الاصطناعي لا يناسبني,مبادره ممتازه واحترافيه مفيده جدا ,"شكرا لجميع المدربين كلهم كانوا متعاونين ويحاولون يساعدون بطيب نفس 💖
والرد على استفسارنا والدعم الدائم
وفقره كاهوت والهدايا  😍


هذي اقتراحاتي:
إرسال سلايدات النظري قبل بفتره.
تلخيص الاكواد الاساسيه ك مراجعه او عشان نفهمها ونراجع منها في وقت لاحق. 
أنا خريجه احصاء درست البايثون لكن بشكل عام أساسي حسيت بعض الاحيان بالدوره اني ضايعه شوي😩.  "
